document,summary
"b""east china 's anhui province is expected to lead the country in cement production capacity this year , thanks to the construction of a building materials industrial base along the local section of the yangtze river .""",b'building materials industrial base built in east china province'
"b'serena williams has pulled out of the olympic tennis tournament , organisers said wednesday .'",b'serena out of olympic tournament'
"b""the taiwan nongovernmental hospitals and clinics association -lrb- UNK -rrb- signed a contract with a chinese medical care management consultant company friday in hopes that the company will promote taiwan 's medical services in china and help lure chinese patients to the island for treatment .""","b""taiwan china 's medical groups forge cooperation ties"""
b'a moroccan who allegedly aided the sept. ## hijackers but was freed on evidence suggesting he knew nothing of the plot awaited a verdict thursday in only the second trial anywhere for the attacks on the united states .',b'german court to deliver verdict on alleged moroccan helper in second sept. ## trial'
"b""a pakistani air force helicopter on tuesday evacuated the sri lankan cricket team from lahore 's gaddafi stadium following a deadly ambush , an afp reporter said .""",b'pakistani helicopter evacuates sri lankan team'
"b'while planning her vacation to new york , lisa UNK was so horrified by the prices in manhattan that she chose cheaper lodging in brooklyn -- where she got a room rate of just $ ### -lrb- euro### -rrb- a night .'",b'nyc hotel boom could help ease room shortage'
"b""the head of security for the vancouver olympics says the cost of providing protection for the #### winter games should n't go over budget -- and may be less than expected .""",b'vancouver olympic security may cost less than $ #b'
"b'at a guess , no one has ever accused daniel barenboim of false modesty .'","b""barenboim 's warm farewell to chicago"""
b'egyptian president hosni mubarak arrived here sunday for a brief visit to jordan .',b'mubarak arrives in jordan for visit'
"b""former south african president nelson mandela said friday that greater efforts should be made to deal with the world 's current woes in the new millennium .""",b'results of world junior ice hockey championship'
b'juventus gave outclassed ##-man glasgow rangers a savage football lesson here on wednesday as they won their european champions league clash #-# .',b'rampant juventus roast rangers'
"b""after taking a hands-off approach to arnold schwarzenegger 's campaign for california governor , president george w. bush rushed wednesday toward embracing him , setting the stage for an alliance that could reap a rich electoral windfall for republicans next year .""",b'bush praises schwarzenegger ahead of california meeting'
"b""the philippines ' finance secretary on tuesday rejected forecasts by the world bank that manila would fall into a recession this year .""",b'philippines rejects world bank recession forecast'
b'u.n. deputy secretary-general louise frechette said on thursday that a level playing field is needed in the globalization process .',b'u.n. calls for level playing field in globalization'
"b""azerbaijan 's president warned opposition leaders boycotting upcoming presidential elections against `` destabilizing '' the situation in the former soviet republic , a news agency said tuesday .""",b'azerbaijan president warns opposition against destabilizing'
"b'david kopp of germany won the third stage of the tour de pologne on tuesday , and wouter UNK of belgium took the overall lead .'",b'david kopp wins third stage of tour de pologne UNK takes overall lead'
